Epoch,Loss,Criterion,LearningRate
0,0.20543025835202292,L1Loss,0.0001
1,0.19548110262705728,L1Loss,0.0001
2,0.15695152947535881,L1Loss,0.0001
3,0.1452582272199484,L1Loss,0.0001
4,0.14707419792046914,L1Loss,0.0001
5,0.15341450102054155,L1Loss,0.0001
6,0.12968381207722884,L1Loss,0.0001
7,0.13454214827372477,L1Loss,0.0001
8,0.13448688158622155,L1Loss,0.0001
9,0.13477191271690223,L1Loss,0.0001
10,0.11000497008745487,L1Loss,0.0001
11,0.09303375734732701,L1Loss,0.0001
12,0.07828099882373443,L1Loss,0.0001
13,0.0810299406831081,L1Loss,0.0001
14,0.06174693915706415,L1Loss,0.0001
15,0.11293779027003509,L1Loss,0.0001
16,0.06483803546199432,L1Loss,0.0001
17,0.05554024875164032,L1Loss,0.0001
18,0.05509489086958078,L1Loss,0.0001
19,0.050402408035901874,L1Loss,0.0001
20,0.054247306946378485,L1Loss,0.0001
21,0.05452339035960344,L1Loss,0.0001
22,0.05004550129748308,L1Loss,0.0001
23,0.04984087468339847,L1Loss,0.0001
24,0.053954748006967396,L1Loss,0.0001
25,0.046918243456345335,L1Loss,0.0001
26,0.05161156920859447,L1Loss,0.0001
27,0.04970387612970976,L1Loss,0.0001
28,0.05084541984475576,L1Loss,0.0001
29,0.04759813644565069,L1Loss,0.0001
30,0.05214479622932581,L1Loss,0.0001
31,0.048931968326752,L1Loss,0.0001
32,0.05842412807620489,L1Loss,0.0001
33,0.04938695350518593,L1Loss,0.0001
34,0.0490527949654139,L1Loss,0.0001
35,0.049254327439344846,L1Loss,0.0001
36,0.04373180407744188,L1Loss,0.0001
37,0.050050381427774064,L1Loss,0.0001
38,0.04691166258775271,L1Loss,0.0001
39,0.04502252403360147,L1Loss,0.0001
40,0.044571385790522285,L1Loss,0.0001
41,0.04733077436685562,L1Loss,0.0001
42,0.04740239937718098,L1Loss,0.0001
43,0.045700741501954883,L1Loss,0.0001
44,0.047534179515563525,L1Loss,0.0001
45,0.04548919544770168,L1Loss,0.0001
46,0.04857636185792776,L1Loss,0.0001
47,0.04729219783957188,L1Loss,0.0001
48,0.04546741797373845,L1Loss,0.0001
49,0.04585365693156536,L1Loss,0.0001
